"Country Name","Country Code","Classification Name","Classification Code","Sector Name","Sector Code","Unit Name","Unit Code",Attribute,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,"Indicator Code","Global DSD Time Series Code",
"Oman","449","Interest expense","W0|S1|G24","Local governments","S1313","Percent of GDP","XDC_R_B1GQ","Bases of recording (Gross/Net)","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",,,,,
"Oman","449","Interest expense","W0|S1|G24","Local governments","S1313","Percent of GDP","XDC_R_B1GQ","Nature of data","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","","","",,,,,
"Australia","193","Social benefits expense","W0|S1|G27","State governments","S1312","Percent of GDP","XDC_R_B1GQ","Value","0.359308917731311","0.35393648621288","0.33645749520986","0.358680218303683","0.34391080171279","0.36573559813632","0.369699339512977","0.349072098621781","0.35741926182466","0.421168297647143","0.387535579216691","0.390210675482929","0.398933116997421","0.418028039901269","0.403604280082598","0.394541973544069","0.377963425894148","0.39320321658128","0.38960733917078","0.432337328762775","GES_G14_GDP_PT","A|AU|S1312|W0|S1|G27|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X",
"Australia","193","Social benefits expense","W0|S1|G27","State governments","S1312","Percent of GDP","XDC_R_B1GQ","Valuation","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",
"Australia","193","Social benefits expense","W0|S1|G27","State governments","S1312","Percent of GDP","XDC_R_B1GQ","Bases of recording (Cash/ Non Cash)","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC",
"Australia","193","Social benefits expense","W0|S1|G27","State governments","S1312","Percent of GDP","XDC_R_B1GQ","Bases of recording (Gross/Net)","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",
"Australia","193","Social benefits expense","W0|S1|G27","State governments","S1312","Percent of GDP","XDC_R_B1GQ","Nature of data","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A",
"South Africa","199","Interest expense","W0|S1|G24","Local governments","S1313","Percent of GDP","XDC_R_B1GQ","Value","0.10237596353848","0.0812477151647341","0.10904639280235","0.127182090486197","0.130242171133943","0.108459280200065","0.139037554835217","0.164875311462802","0.195120822976803","0.197888725983066","0.188281813524607","0.170874397483352","0.211865783308762","0.187052488483973","0.210648060697062","0.211100558377265","0.251376467741596","0.189622312649482","0.197046020531252",,"GEI_G14_GDP_PT","A|ZA|S1313|W0|S1|G24|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X",
"South Africa","199","Interest expense","W0|S1|G24","Local governments","S1313","Percent of GDP","XDC_R_B1GQ","Valuation","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",
"South Africa","199","Interest expense","W0|S1|G24","Local governments","S1313","Percent of GDP","XDC_R_B1GQ","Bases of recording (Cash/ Non Cash)","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","",
